address_type,address,last_active,active_chains,tx_count_7d,tx_count_30d
evm,0x69f66bd6628ff27222da37245ed686c3ef4766c9,2026-04-14 17:03:21.000 UTC,base|bnb|ethereum,3,20
evm,0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,2026-04-14 16:23:47.000 UTC,base|ethereum,29,73
sol,FMNbvgmADbzZ4BZge8CSotLwvvgDLRvyTod3P1yRj8eu,2026-04-14 16:04:59.000 UTC,solana,13,17
sol,BU23TUFBAxVT1Xb11HeBLeJrMgitNEsV1C7dVvtHRT2S,2026-04-14 15:56:37.000 UTC,solana,8,22
evm,0x29eb182b934780bb25c4656268df4c919225e707,2026-04-14 15:56:23.000 UTC,ethereum,24,28
evm,0xf14d664d133a2256af354dde6af84ea6a25a5665,2026-04-14 15:51:35.000 UTC,base|bnb|ethereum,24,31
evm,0x87d63b96ca7695775fdde18ade27480143f9dfa0,2026-04-14 15:50:29.000 UTC,base|bnb|ethereum,7,14
evm,0xcb43078c32423f5348cab5885911c3b5fae217f9,2026-04-14 15:46:23.000 UTC,base|ethereum,35,340
sol,CEUQna9QUwFdujBPgoc3wunzPUEQ7ZxKQezSfq7PCXQ7,2026-04-14 15:29:25.000 UTC,solana,43,181
sol,2kyoEvCVfCoGmWGZG4MCzbv9xDgV7NCNDujFr776YzDQ,2026-04-14 15:13:30.000 UTC,solana,37,104
evm,0xd01a73bef8d17aa02466754fe43e99342ae30043,2026-04-14 15:09:05.000 UTC,base|bnb|ethereum,10,64
evm,0x552f01d67b352aaa38bc675e30ced97f2451df63,2026-04-14 14:24:11.000 UTC,base|ethereum,6,29
sol,BMpa9wWzZepEgp7qxps9G72AnAwfFEQCWxboaNhop1BA,2026-04-14 14:16:13.000 UTC,solana,5,60
sol,6xg9pGcTWaH78FDJAgqKi2F1qHsrk4FbjHqTQUq7qkHK,2026-04-14 14:12:01.000 UTC,solana,3,12
